LogGDP,LogDebt,LogNationalSavings,LogRatio,GDP,Debt,NationalSavings,Ratio,Country_Name,Year
NULL,0,0,0,0,0,0,NULL,Slovakia,1980-01-01
NULL,0,0,0,0,0,0,NULL,Slovenia,1980-01-01
18.782011781444506,0,16.16197245766501,0,143523850,0,10448536.280000001,0,"Solomon Islands",1980-01-01
20.163589478926657,0,0,0,571393961,0,0,0,Somalia,1980-01-01
25.1120633259143,0,24.021716781663223,0,80543506268,0,27070672456.6748,0,"South Africa",1980-01-01
NULL,0,0,0,0,0,0,NULL,"South Sudan",1980-01-01
26.143729875054994,24.345549838024017,24.555074501803425,1.0738607280999872,225983963346,37422944330.0976,46145925315.253204,0.16560000000000002,Spain,1980-01-01
22.175650367821163,0,20.976996724972825,0,4273292173,0,1288824919.3768,0,"Sri Lanka",1980-01-01
18.065937148045467,0,17.12330244083171,0,70135325,0,27324722.62,0,"St. Vincent and the Grenadines",1980-01-01
NULL,0,0,0,0,0,0,NULL,Sudan,1980-01-01
22.574156423149915,0,0,0,6365486013,0,0,0,"Sudan (Former)",1980-01-01
20.808625476652093,0,0,0,1089108683,0,0,0,Suriname,1980-01-01
20.313767146873076,0,18.402548237607693,0,663983028,0,98203089.84120001,0,Swaziland,1980-01-01
25.606562171063985,0,23.956302264109627,0,132065278458,0,25356533463.936,0,Sweden,1980-01-01
25.446497134999614,0,0,0,112531287946,0,0,0,Switzerland,1980-01-01
23.299395069594716,0,0,0,13146153846,0,0,0,"Syrian Arab Republic",1980-01-01
NULL,0,0,0,0,0,0,NULL,Tajikistan,1980-01-01
NULL,0,0,0,0,0,0,NULL,"The Former Yugoslav Republic of Macedonia",1980-01-01
24.233832801795025,0,22.536109974493353,0,33467237153,0,6127851122.714299,0,Thailand,1980-01-01
NULL,0,0,0,0,0,0,NULL,Timor-Leste,1980-01-01
20.846011516954814,0,18.855313185109367,0,1130596851,0,154439529.8466,0,Togo,1980-01-01
18.183544145006454,0,0,0,78888352,0,0,0,Tonga,1980-01-01
22.553578061678316,0,21.541051721923335,0,6235833336,0,2265478250.9688,0,"Trinidad and Tobago",1980-01-01
22.989654794616655,0,21.493099039239226,0,9644511120,0,2159406039.768,0,Tunisia,1980-01-01
25.250222128231798,0,23.79135707427707,0,92476660271,0,21500823513.0075,0,Turkey,1980-01-01
NULL,0,0,0,0,0,0,NULL,Turkmenistan,1980-01-01
17.286719239006263,0,0,0,32175609,0,0,0,"Turks and Caicos Islands",1980-01-01
15.273330148112112,0,0,0,4296581,0,0,0,Tuvalu,1980-01-01
22.712572909220125,0,0,0,7310466382,0,0,0,"United Republic of Tanzania: Mainland",1980-01-01
